1,0
2,1
3,2
4,1
5,3
6,3
7,2
8,3
9,4
10,4
11,5
12,4
13,5
14,3
15,6
16,7
17,5
18,5
19,6
20,4
21,6
22,8
23,7
24,4
25,5
26,5
27,6
28,6
29,6
30,6
31,7
32,2
33,2
34,8
35,8
36,8
37,8
38,4
39,9
40,9
41,5
42,9
43,6
44,5
45,7
46,5
47,6
48,7
49,3
50,8
51,4
52,6
53,6
54,7
55,7
56,7
57,6
58,9
59,10
60,11
61,5
62,6
63,10
64,3
65,9
66,7
67,4
68,8
69,9
70,10
71,6
72,8
73,7
74,10
75,11
76,7
77,7
78,12
79,12
80,9
81,10
82,9
83,7
84,8
85,10
86,4
87,6
88,10
89,8
90,13
91,8
92,4
93,11
94,11
95,7
96,8
97,7
98,7
99,10
100,12
101,9
102,5
103,5
104,8
105,7
106,10
107,11
108,6
109,13
110,6
111,6
112,12
113,9
114,6
115,11
116,11
117,6
118,8
119,7
120,9
121,13
122,12
123,10
124,6
125,13
126,11
127,9
128,8
129,11
130,9
131,5
132,8
133,9
134,11
135,11
136,10
137,14
138,7
139,6
140,10
141,5
142,9
143,9
144,7
145,8
146,12
147,13
148,10
149,7
150,8
151,12
152,13
153,14
154,14
155,12
156,12
157,11
158,10
159,10
160,11
161,11
162,12
163,13
164,13
165,7
166,8
167,10
168,7
169,6
170,7
171,8
172,10
173,7
174,11
175,12
176,13
177,14
178,15
179,7
180,6
181,11
182,12
183,15
184,8
185,7
186,12
187,8
188,8
189,10
190,13
191,10
192,11
193,12
194,10
195,11
196,9
197,12
198,13
199,11
200,4
201,8
202,6
203,7
204,8
205,8
206,4
207,5
208,5
209,10
210,13
211,14
212,14
213,15
214,12
215,9
216,14
217,14
218,13
219,13
220,12
221,14
222,15
223,7
224,8
225,13
226,12
227,16
228,9
229,7
230,8
231,9
232,10
233,11
234,7
235,7
236,8
237,8
238,8
239,8
240,5
241,8
242,14
243,7
244,8
245,8
246,7
247,9
248,15
249,7
250,8
251,7
252,14
253,10
254,11
255,9
256,9
257,11
258,12
259,10
260,9
261,10
262,13
263,8
264,16
265,14
266,9
267,15
268,14
269,15
270,10
271,16
272,8
273,9
274,10
275,10
276,13
277,12
278,8
279,13
280,14
281,15
282,15
283,15
284,9
285,14
286,8
287,9
288,8
289,8
290,9
291,14
292,9
293,8
294,9
295,9
296,9
297,10
298,9
299,11
300,14
301,8
302,10
303,12
304,13
305,13
306,9
307,10
308,11
309,10
310,14
311,15
312,12
313,12
314,16
315,16
316,7
317,8
318,11
319,9
320,15
321,7
322,9
323,10
324,11
325,12
326,12
327,9
328,6
329,5
330,7
331,13
332,11
333,5
334,6
335,6
336,12
337,12
338,13
339,10
340,9
341,9
342,10
343,11
344,15
345,13
346,11
347,11
348,12
349,15
350,11
351,15
352,8
353,10
354,9
355,8
356,9
357,9
358,14
359,12
360,16
361,15
362,16
363,16
364,11
365,11
366,17
367,15
368,9
369,12
370,8
371,9
372,17
373,13
374,14
375,12
376,3
377,6
378,3
379,4
380,10
381,11
382,7
383,12
384,15
385,12
386,9
387,8
388,17
389,12
390,13
391,13
392,8
393,16
394,11
395,7
396,10
397,11
398,9
399,13
400,16
401,11
402,9
403,9
404,9
405,10
406,14
407,10
408,10
409,15
410,11
411,12
412,11
413,13
414,15
415,9
416,16
417,12
418,15
419,16
420,17
421,15
